,BANDE_LITT,numdep,INSEE_COM,NOM,SIREN_EPCI,NOM_EPCI,SURFACE_M2
188,100_200m,22,22224,Ploulec'h,200065928,CA Lannion-Trégor Communauté,390387.2528400802
189,200_500m,22,22224,Ploulec'h,200065928,CA Lannion-Trégor Communauté,936934.7524383146
190,500m_1km,22,22224,Ploulec'h,200065928,CA Lannion-Trégor Communauté,1222764.6491574033
191,1_5km,22,22224,Ploulec'h,200065928,CA Lannion-Trégor Communauté,6836944.950201504
192,100m,22,22226,Ploumilliau,200065928,CA Lannion-Trégor Communauté,151757.32616505015
193,100_200m,22,22226,Ploumilliau,200065928,CA Lannion-Trégor Communauté,174610.9933748893
194,200_500m,22,22226,Ploumilliau,200065928,CA Lannion-Trégor Communauté,511899.7205516962
195,500m_1km,22,22226,Ploumilliau,200065928,CA Lannion-Trégor Communauté,1276993.583480815
196,1_5km,22,22226,Ploumilliau,200065928,CA Lannion-Trégor Communauté,19935070.463675532
198,100m,22,22233,Plourivo,200067981,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,205151.0186498718
199,100_200m,22,22233,Plourivo,200067981,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,228607.7878127598
200,200_500m,22,22233,Plourivo,200067981,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,767945.8665134327
201,500m_1km,22,22233,Plourivo,200067981,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,1765251.1760092678
202,1_5km,22,22233,Plourivo,200067981,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,21982803.158800192
204,100m,22,22242,Plurien,200069391,CA Lamballe Terre et Mer,110237.17929603117
205,100_200m,22,22242,Plurien,200069391,CA Lamballe Terre et Mer,129051.92284927981
206,200_500m,22,22242,Plurien,200069391,CA Lamballe Terre et Mer,561950.5959251985
207,500m_1km,22,22242,Plurien,200069391,CA Lamballe Terre et Mer,1294827.4996477235
208,1_5km,22,22242,Plurien,200069391,CA Lamballe Terre et Mer,18135672.33373202
210,100m,22,22251,Pordic,200069409,CA Saint-Brieuc Armor Agglomération,458886.5981889157
211,100_200m,22,22251,Pordic,200069409,CA Saint-Brieuc Armor Agglomération,451595.89849369414
212,200_500m,22,22251,Pordic,200069409,CA Saint-Brieuc Armor Agglomération,1331117.0725538242
213,500m_1km,22,22251,Pordic,200069409,CA Saint-Brieuc Armor Agglomération,2302394.0226212787
214,1_5km,22,22251,Pordic,200069409,CA Saint-Brieuc Armor Agglomération,21390462.601944488
216,100m,22,22278,Saint-Brieuc,200069409,CA Saint-Brieuc Armor Agglomération,387674.43169120024
217,100_200m,22,22278,Saint-Brieuc,200069409,CA Saint-Brieuc Armor Agglomération,329866.3889010706
218,200_500m,22,22278,Saint-Brieuc,200069409,CA Saint-Brieuc Armor Agglomération,721949.6175565304
219,500m_1km,22,22278,Saint-Brieuc,200069409,CA Saint-Brieuc Armor Agglomération,984141.9662396219
220,1_5km,22,22278,Saint-Brieuc,200069409,CA Saint-Brieuc Armor Agglomération,13210185.96566286
222,100m,22,22282,Saint-Cast-le-Guildo,200068989,CA Dinan Agglomération,1731221.4394393966
223,100_200m,22,22282,Saint-Cast-le-Guildo,200068989,CA Dinan Agglomération,1534049.0606059467
224,200_500m,22,22282,Saint-Cast-le-Guildo,200068989,CA Dinan Agglomération,3893811.785490224
225,500m_1km,22,22282,Saint-Cast-le-Guildo,200068989,CA Dinan Agglomération,5169783.450227058
226,1_5km,22,22282,Saint-Cast-le-Guildo,200068989,CA Dinan Agglomération,10463499.345259089
227,100m,22,22302,Saint-Jacut-de-la-Mer,200068989,CA Dinan Agglomération,1058299.5514107398
228,100_200m,22,22302,Saint-Jacut-de-la-Mer,200068989,CA Dinan Agglomération,768596.9104209027
229,200_500m,22,22302,Saint-Jacut-de-la-Mer,200068989,CA Dinan Agglomération,1038070.404664112
230,500m_1km,22,22302,Saint-Jacut-de-la-Mer,200068989,CA Dinan Agglomération,111748.97425899103
231,100m,22,22319,Saint-Michel-en-Grève,200065928,CA Lannion-Trégor Communauté,148227.78612139894
232,100_200m,22,22319,Saint-Michel-en-Grève,200065928,CA Lannion-Trégor Communauté,191459.7827152839
233,200_500m,22,22319,Saint-Michel-en-Grève,200065928,CA Lannion-Trégor Communauté,639599.6222716457
234,500m_1km,22,22319,Saint-Michel-en-Grève,200065928,CA Lannion-Trégor Communauté,897715.1349025305
235,1_5km,22,22319,Saint-Michel-en-Grève,200065928,CA Lannion-Trégor Communauté,2792477.579893459
236,100m,22,22325,Saint-Quay-Portrieux,200069409,CA Saint-Brieuc Armor Agglomération,528440.1662984147
237,100_200m,22,22325,Saint-Quay-Portrieux,200069409,CA Saint-Brieuc Armor Agglomération,381795.24297543865
238,200_500m,22,22325,Saint-Quay-Portrieux,200069409,CA Saint-Brieuc Armor Agglomération,1065724.6774379048
239,500m_1km,22,22325,Saint-Quay-Portrieux,200069409,CA Saint-Brieuc Armor Agglomération,1361370.7621284279
240,1_5km,22,22325,Saint-Quay-Portrieux,200069409,CA Saint-Brieuc Armor Agglomération,668651.9356662376
241,100m,22,22327,Saint-Samson-sur-Rance,200068989,CA Dinan Agglomération,158538.97564859092
242,100_200m,22,22327,Saint-Samson-sur-Rance,200068989,CA Dinan Agglomération,169770.8989341278
243,200_500m,22,22327,Saint-Samson-sur-Rance,200068989,CA Dinan Agglomération,507410.4725446545
244,500m_1km,22,22327,Saint-Samson-sur-Rance,200068989,CA Dinan Agglomération,1273966.9757380506
245,1_5km,22,22327,Saint-Samson-sur-Rance,200068989,CA Dinan Agglomération,4020973.6916025486
246,100m,22,22343,Trébeurden,200065928,CA Lannion-Trégor Communauté,1392713.0736846088
247,100_200m,22,22343,Trébeurden,200065928,CA Lannion-Trégor Communauté,1023568.0813932014
248,200_500m,22,22343,Trébeurden,200065928,CA Lannion-Trégor Communauté,2420805.9708310873
249,500m_1km,22,22343,Trébeurden,200065928,CA Lannion-Trégor Communauté,3267726.140251478
250,1_5km,22,22343,Trébeurden,200065928,CA Lannion-Trégor Communauté,5540194.02803428
251,100m,22,22347,Trédarzec,200065928,CA Lannion-Trégor Communauté,24644.918081506636
252,100_200m,22,22347,Trédarzec,200065928,CA Lannion-Trégor Communauté,31577.08206992028
253,200_500m,22,22347,Trédarzec,200065928,CA Lannion-Trégor Communauté,108875.95846515296
254,500m_1km,22,22347,Trédarzec,200065928,CA Lannion-Trégor Communauté,375061.76132028655
255,1_5km,22,22347,Trédarzec,200065928,CA Lannion-Trégor Communauté,8900747.379830413
257,100m,22,22349,Trédrez-Locquémeau,200065928,CA Lannion-Trégor Communauté,792752.0325286167
258,100_200m,22,22349,Trédrez-Locquémeau,200065928,CA Lannion-Trégor Communauté,694050.8934841985
259,200_500m,22,22349,Trédrez-Locquémeau,200065928,CA Lannion-Trégor Communauté,1840631.7085672258
260,500m_1km,22,22349,Trédrez-Locquémeau,200065928,CA Lannion-Trégor Communauté,2717273.782248364
261,1_5km,22,22349,Trédrez-Locquémeau,200065928,CA Lannion-Trégor Communauté,4596039.547852205
262,100m,22,22350,Tréduder,200065928,CA Lannion-Trégor Communauté,62335.45349887225
263,100_200m,22,22350,Tréduder,200065928,CA Lannion-Trégor Communauté,77394.27590860074
264,200_500m,22,22350,Tréduder,200065928,CA Lannion-Trégor Communauté,238000.66571996178
265,500m_1km,22,22350,Tréduder,200065928,CA Lannion-Trégor Communauté,508868.450220548
266,1_5km,22,22350,Tréduder,200065928,CA Lannion-Trégor Communauté,3922419.3215339947
267,100m,22,22353,Trégastel,200065928,CA Lannion-Trégor Communauté,1096534.672731055
268,100_200m,22,22353,Trégastel,200065928,CA Lannion-Trégor Communauté,785969.2211459943
269,200_500m,22,22353,Trégastel,200065928,CA Lannion-Trégor Communauté,1751439.4045551205
270,500m_1km,22,22353,Trégastel,200065928,CA Lannion-Trégor Communauté,1254872.2455618277
271,1_5km,22,22353,Trégastel,200065928,CA Lannion-Trégor Communauté,2296725.002080263
272,100m,22,22363,Trélévern,200065928,CA Lannion-Trégor Communauté,335794.5418331365
273,100_200m,22,22363,Trélévern,200065928,CA Lannion-Trégor Communauté,321264.5341094575
274,200_500m,22,22363,Trélévern,200065928,CA Lannion-Trégor Communauté,879924.821779021
275,500m_1km,22,22363,Trélévern,200065928,CA Lannion-Trégor Communauté,1400769.8786882418
276,1_5km,22,22363,Trélévern,200065928,CA Lannion-Trégor Communauté,4111130.569374845
277,100m,22,22377,Tréveneuc,200069409,CA Saint-Brieuc Armor Agglomération,367873.24010146037
278,100_200m,22,22377,Tréveneuc,200069409,CA Saint-Brieuc Armor Agglomération,318670.8529787425
279,200_500m,22,22377,Tréveneuc,200069409,CA Saint-Brieuc Armor Agglomération,804012.0258561325
280,500m_1km,22,22377,Tréveneuc,200069409,CA Saint-Brieuc Armor Agglomération,1067827.9765762188
281,1_5km,22,22377,Tréveneuc,200069409,CA Saint-Brieuc Armor Agglomération,4137686.6910242275
282,100m,22,22379,Trévou-Tréguignec,200065928,CA Lannion-Trégor Communauté,318814.954921111
283,100_200m,22,22379,Trévou-Tréguignec,200065928,CA Lannion-Trégor Communauté,299889.86628236267
284,200_500m,22,22379,Trévou-Tréguignec,200065928,CA Lannion-Trégor Communauté,846112.6181416376
285,500m_1km,22,22379,Trévou-Tréguignec,200065928,CA Lannion-Trégor Communauté,1344629.1320204083
286,1_5km,22,22379,Trévou-Tréguignec,200065928,CA Lannion-Trégor Communauté,3845976.407703069
287,100m,22,22385,La Vicomté-sur-Rance,200068989,CA Dinan Agglomération,250294.15447411395
288,100_200m,22,22385,La Vicomté-sur-Rance,200068989,CA Dinan Agglomération,249361.20608324368
289,200_500m,22,22385,La Vicomté-sur-Rance,200068989,CA Dinan Agglomération,712771.1829157402
290,500m_1km,22,22385,La Vicomté-sur-Rance,200068989,CA Dinan Agglomération,1153130.844108325
291,1_5km,22,22385,La Vicomté-sur-Rance,200068989,CA Dinan Agglomération,2112895.7531624283
292,100m,22,22389,Yffiniac,200069409,CA Saint-Brieuc Armor Agglomération,60687.399586530606
293,100_200m,22,22389,Yffiniac,200069409,CA Saint-Brieuc Armor Agglomération,54163.873711994194
294,200_500m,22,22389,Yffiniac,200069409,CA Saint-Brieuc Armor Agglomération,193506.2333728963
295,500m_1km,22,22389,Yffiniac,200069409,CA Saint-Brieuc Armor Agglomération,690115.7982344136
296,1_5km,22,22389,Yffiniac,200069409,CA Saint-Brieuc Armor Agglomération,15872401.518239137
298,100m,29,29001,Argol,200066868,CC Presqu'île de Crozon-Aulne maritime,1233608.7340106694
299,100_200m,29,29001,Argol,200066868,CC Presqu'île de Crozon-Aulne maritime,1222948.7450726677
300,200_500m,29,29001,Argol,200066868,CC Presqu'île de Crozon-Aulne maritime,3265873.984245873
301,500m_1km,29,29001,Argol,200066868,CC Presqu'île de Crozon-Aulne maritime,4685367.056234917
302,1_5km,29,29001,Argol,200066868,CC Presqu'île de Crozon-Aulne maritime,21078704.91674557
